=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg2:2c01  JUNGS01.23       S_022
  seg2:2d4e  USER.19          RELEASECAPTURE
  seg2:2f4c  USER.17          GETCURSORPOS
  seg2:2f5a  USER.29          SCREENTOCLIENT
  seg2:3011  USER.106         GETKEYSTATE
  seg2:3027  USER.106         GETKEYSTATE
  seg2:3179  JUNGS01.52       S_051
  seg2:3551  JUNGS01.49       S_048
  seg2:3618  JUNGR01.8        RESGETTYPE
  seg2:3650  USER.17          GETCURSORPOS
  seg2:365e  USER.29          SCREENTOCLIENT
  seg2:36c3  JUNGS01.9        S_008
  seg2:36f4  JUNGS01.21       S_020
  seg2:3706  JUNGS01.29       S_028
  seg2:3819  JUNGS01.2        S_001
  seg2:38d3  JUNGS01.2        S_001
  seg2:3980  JUNGS01.2        S_001
  seg2:39ac  JUNGS01.22       S_021
  seg2:39dd  JUNGS01.62       S_061
  seg2:3a2a  JUNGS01.17       S_016
  seg2:3a71  JUNGS01.32       S_031
  seg2:3a8e  JUNGS01.32       S_031
  seg2:3aa0  JUNGU01.11       WINFREE
  seg2:3ab3  JUNGS01.62       S_061
  seg2:3ad7  JUNGS01.62       S_061
  seg2:3b20  JUNGS01.17       S_016
  seg2:3b59  JUNGU01.2        COPYHUGEBYTES
  seg2:3b8e  JUNGS01.32       S_031
  seg2:3ba7  JUNGS01.62       S_061
  seg2:3bc5  JUNGS01.33       S_032
  seg2:3bf6  JUNGS01.33       S_032
  seg2:4c7e  MMSYSTEM.106     JOYSETCAPTURE
  seg2:4c92  MMSYSTEM.103     JOYGETPOS
  seg2:4cc0  MMSYSTEM.106     JOYSETCAPTURE
  seg2:4cd5  MMSYSTEM.103     JOYGETPOS
  seg2:4e5b  MMSYSTEM.105     JOYRELEASECAPTURE
  seg2:4e64  MMSYSTEM.105     JOYRELEASECAPTURE
  seg2:504a  USER.106         GETKEYSTATE
  seg2:5186  JUNGR01.44       RESLOADKEYRESOURCE
  seg2:51d5  KERNEL.50        GETPROCADDRESS
  seg2:51fc  KERNEL.90        LSTRLEN
  seg2:5232  JUNGU01.11       WINFREE
  seg2:526f  KERNEL.50        GETPROCADDRESS
  seg2:5289  KERNEL.96        FREELIBRARY
  seg2:52b7  KERNEL.107       SETERRORMODE
  seg2:52cf  KERNEL.95        LOADLIBRARY
  seg2:52d7  KERNEL.107       SETERRORMODE
  seg2:52ef  KERNEL.48        GETMODULEUSAGE
  seg2:5302  KERNEL.96        FREELIBRARY
  seg2:5312  KERNEL.95        LOADLIBRARY
  seg2:5329  KERNEL.50        GETPROCADDRESS
  seg2:5366  KERNEL.96        FREELIBRARY
  seg2:53d1  JUNGU01.11       WINFREE
  seg2:54aa  JUNGU01.11       WINFREE
  seg2:558d  JUNGR01.8        RESGETTYPE
  seg2:561a  JUNGA01.12       A_012
  seg2:569b  JUNGU01.11       WINFREE
  seg2:574f  JUNGS01.14       S_013
  seg2:57ff  JUNGR01.8        RESGETTYPE
  seg2:5925  JUNGU01.11       WINFREE
  seg2:59b0  JUNGA01.13       A_013
  seg2:5ae0  JUNGU01.8        WINMALLOC
  seg2:5ccc  JUNGR01.8        RESGETTYPE
  seg2:5d4f  JUNGA01.37       A_037
  seg2:5d8e  JUNGR01.28       RESCREATEMIDIEVENT
